comments,Class
wow,1
wow,1
wow,1
wow,1
osm,1
wow,1
wow,1
wow,1
wow,1
wow,1
mst,1
wow,1
bmb,1
mst,1
wow,1
gzb,1
wow,1
wow,1
mst,1
mst,1
mast,1
acha,1
acha,1
acha,1
acha,1
must,1
bomb,1
mast,1
mast,1
mast,1
mast,1
mast,1
mast,1
moja,1
mast,1
mast,1
mast,1
mast,1
whah,1
wawa,1
mast,1
waah,1
mast,1
mast,1
mast,1
mast,1
mast,1
nice,1
mast,1
must,1
bomb,1
mast,1
mast,1
mast,1
mast,1
whah,1
wawa,1
mast,1
waah,1
mast,1
mast,1
mast,1
kamal,1
kamal,1
mast,1
mast,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
jakas,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
kamal,1
jakas,1
jakas,1
jakas,1
badya,1
kamal,1
kamal,1
jakas,1
jakas,1
jakas,1
gajab,1
dhasu,1
gajab,1
super,1
bakar,1
accha,1
koka g,1
koka g,1
acha h,1
mast h,1
mast h,1
mast h,1
ghaint,1
saktar,1
jakass,1
jakash,1
rachet,1
mast h,1
mast a,1
mast h,1
mast h,1
mast h,1
mast h,1
mast h,1
mast h,1
mast h,1
mast h,1
mast h,1
mast h,1
mast h,1
acha h,1
acha h,1
jakass,1
jakash,1
jakash,1
jakash,1
mast h,1
mast h,1
mast h,1
mast h,1
sandar,1
pataka,1
ghaint,1
masth,1
tabahi,1
alllaw,1
lajwab,1
attttt,1
sandar,1
pataka,1
ghaint,1
jakkas,1
waaaah,1
asm hai,1
o khair,1
hot hai,1
acha ha,1
mst hai,1
jakasss,1
mast ha,1
mst hai,1
kamal a,1
ganadas,1
badhiya,1
mast hi,1
mast he,1
mast ha,1
mast ba,1
mast ha,1
mast ha,1
mast ha,1
mast ha,1
mast ha,1
mast hi,1
mast ha,1
mast ha,1
mast yr,1
mast ha,1
mast ji,1
mast yr,1
mast ha,1
mast ha,1
mast su,1
mast ha,1
mast ji,1
mst hai,1
mast,1
acha hi,1
nyc hai,1
acha ji,1
chachak,1
kiya ho,1
mast yr,1
mast ba,1
mast hi,1
mast ha,1
mast by,1
mast by,1
mast ba,1
mast ho,1
hit hai,1
mst hai,1
mst hai,1
mst hai,1
mast h,1
shiksha,1
mast hi,1
jhakkas,1
wah yrr,1
majadar,1
mst hai,1
wow peg,1
kamal a,1
bhadiya,1
wowwwww,1
mst hai,1
mast h,1
mastttt,1
lajwaab,1
sirrrra,1
shiksha,1
mast hi,1
jhakkas,1
majadar,1
mst hai,1
hit hai,1
kamal a,1
wowwwww,1
kamal h,1
mast hai,1
mast hai,1
hit hai,1
gzb bhai,1
kdk bhai,1
gjb bhai,1
mst bhai,1
kya baat,1
ram bhai,1
acha hai,1
mast hai,1
kya baat,1
osm gana,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast yar,1
mast hai,1
mast hai,1
abhishek,1
ghaint g,1
sahi hai,1
bomb hai,1
kamallll,1
kamal ha,1
acha hai,1
shanawaz,1
mst gana,1
bhai gjb,1
bhai mst,1
babhi ji,1
mast hai,1
mast hai,1
mast jee,1
mast hai,1
mast hai,1
mast yar,1
mast cho,1
mast sng,1
mast hai,1
mast hai,1
mast hai,1
mast bro,1
mast sir,1
mast hai,1
mast hai,1
mast bhi,1
mast hai,1
mast hai,1
mast hai,1
mast bro,1
mast sog,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast bro,1
mast hai,1
mast hai,1
mast sog,1
mast bro,1
mast hai,1
shanawaz,1
must hai,1
sahi hai,1
thik hai,1
aaha hai,1
mast hai,1
sahi hai,1
sahi hai,1
nice hai,1
s k soni,1
ravi k s,1
mst h ji,1
acha hai,1
aacha hy,1
acha hai,1
acha hai,1
nyc awaz,1
osm gana,1
nyc gana,1
mast pic,1
mast yar,1
mast hai,1
mast bro,1
mast hai,1
mast bro,1
mast pic,1
mast bro,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
mast hai,1
moti das,1
nice hai,1
nice hai,1
thik hai,1
sher hai,1
afat hai,1
thik hai,1
thik hai,1
mst hai,1
sahi hai,1
best hai,1
must hai,1
must hai,1
must hai,1
sahi hai,1
sahi hai,1
b k boss,1
k k naic,1
s k raja,1
wadhya h,1
mast hai,1
osm bhai,1
jio boss,1
mst song,1
wah wah,1
hit song,1
mst song,1
mst song,1
